"","x"
"1","Yo: joder la gente con la switch encima con lo cara que es etc etc etc

Also yo: el lunes miro a ver si hay oferta de cibermonday y me la compro ome"
"2","Yo: Este mes no voy a gastar 
Buenfin/Blackfriday/Cybermonday: JAJAJAJAJAJAJAJAJAJAJA"
"3","Yo todo pelotudo pensando que se habian comprado la ps5 busque que era cybermonday"
"4","Yo pagando mas caros los envíos rapidos del #Cybermonday2020 para que terminen llegando cuando les dé la gana <U+0001F921>"
"5","Yo no te puedo creer que dije que no iba a comprar nada en el Cybermonday y termine gastando casi 50k."
"6","Yo no puedo creer que ahora se quejan de que se levanta la cuarentena. Mientras todo el año lloraron porque no podían salir, que la libertad y coso.

Cosas como el Cybermonday existen por ustedes, soretes. No por nosotros."
"7","Yo esperando que llegue todo lo que compré en el cybermonday https://t.co/6YAUbIlEmU"
"8","Yo esperando por la freidora de aire que compramos en el cybermonday https://t.co/Kbv5v6FhtU"
"9","Yo en este momento...contando monedas <U+0001F62D><U+0001F613> #CuandoDepositan #pobreza #BlackFridayenTienda #Cybermonday2020 me lo pierdo #NoLlegoAl10 #TrumpvsBiden #atr #Juernes  # https://t.co/nCt5aKU4tY"
"10","Yo en el cybermonday soy lo mejor que les puede pasar. Ahora mi sueldo se me fue en cuestiones de minutos"
"11","Yo : no voy a gastar mas plata         
Tambien yo : mm cuantas zapatillitas me puedo comprar por el cybermonday"
"12","Ya Wey termina ese Cybermonday, mi cerebro no da más @1NataliaGimenez"
"13","Ya vienen las compras del #BuenFin2020, #blackfriday2020 y #cybermonday2020, aprovecha los financiamientos que te ofrecen e invierte en tu negocio pagando a meses sin intereses <U+0001F913>

Síguenos en:
Facebook/Linkedin: Coronado Contadores
.
.
.
#Coronado #Contadores #Sinaloa #Sonora https://t.co/Cek6euOKea"
"14","Ya se acabó el #CyberMonday corten el hueveo con los mails por favor!!"
"15","Ya poh dense un buen dato del #CyberMonday"
"16","Ya pasó el #Cybermonday ahora llega el #Cyberweek <U+0001F644><U+0001F644>"
"17","Ya párenle con el email marketing de CyberMonday, ¿que no ven que soy pobre? https://t.co/qXdL9BTLXa"
"18","Ya llego también turquesa de la femenil en $250 varos!!!! Activa tu promoción dando rt
#CRUZAZUL 
#Cybermonday2020 https://t.co/77cCUzTZqw"
"19","Ya era mucho tiempo aguantando el temita de los descuentos del CyberMonday jaja <U+0001F92D>"
"20","Ya ""termino"" el #CyberMonday ahora pueden bajar los precios.... xD"
"21","Y yo creía que no iba a aprovechar el ciberMonday<U+0001F60D><U+0001F60D><U+0001F60D>"
"22","Y volví a caer en tus mentiras cybermonday"
"23","Y la gente se da cuenta de la mentira, ya que suben los precios para después ofrecer el descuento, y semanas antes y después vuelven al precio original que es el mismo que el de la oferta
https://t.co/CXgipS00te"
"24","Y este señor es Dr. En economía? @sanchezcastejon acaso no sabes los efectos de una recesión así como las medidas que hay que tomar?
Que compraste el título en #cibermonday ?
#gobierno #Espana así nos va. https://t.co/Bi8pf1mG6b"
"25","Xq no hay cybermonday en comida de perros <U+0001F602>"
"26","Voy aprovechar el #Cybermonday2020 para comprarme NADA con toda la plata que no tengo"
"27","vos tan cybermonday, yo tan saqueo de diciembre jajjajja"
"28","vos tan cybermonday y yo tan saqueo de diciembre<U+0001F614>"
"29","Vieron que pura intimates está en el cybermonday? Apostemos a cuánta gente van a cagar! Yo creo que más de 400"
"30","Viernes cuartos de final Paris: 10 AM
Diego Schwartzman vs. Daniil Medvedev.

Con #OMINTASSISTANCE en #CYBERWEEK tenés un viaje seguro! Cotizá ahora con descuentos del 60% y 2x1 en todos los productos!  https://t.co/iWMvc6iPlP"
"31","Ventas del CyberMonday no superaron al evento de septiembre pasado https://t.co/JEQyJ2Bk1p https://t.co/HrxdyOjMWM"
"32","Ventas del CyberMonday no superaron al evento de septiembre pasado https://t.co/JBeTnSUtpn"
"33","Venía re bien, sin fijarme las ofertas del cybermonday y acá estoy, gastando 10 lucas antes de dormir desde la comodidad de mi cama. Capitalismo wins."
