"","x"
"1","Zapatillas Maui a $80, valió la pena quedarse despierta <U+2764><U+FE0F>#Cybermonday2020"
"2","Zapatilla PLANAR NOW $ 7.693. 
#SARKANY #CyberMonday
Hasta 60% OFF + 3 cuotas sin interés y 15% OFF adicional con #BancoGalicia. https://t.co/9ASLTirApc"
"3","Zapandillas top plateadas para lucirse y sentirse un chocolatito: KEDS tiene este par de modelos en promo a $24.990.- Normalmente salen 44, pa que tengan ojeli.

 #CyberRata #CyberMonday #Pejerrey

https://t.co/T6hRelEhfR"
"4","Yo:nicagando vuelvo con mi ex
También yo: voy a pagar la tarjeta para gastar en #Cybermonday2020 <U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F>
Seré wueona"
"5","yo: voy a entrar a ver los precios de los cuadernos en todo moda a ver si con el cybermonday compro algunos en orferta.

todo moda: jsjsjsjsjs *cartel gigante de cyber monday y sin acceso a la web*"
"6","yo: tiene que entregar un ensayo maximo a las 12*
also yo: busca ofertas del cybermonday*"
"7","Yo: quiero ahorrar
Vida: CyberMonday dijiste?"
"8","Yo: que caro todo el cybermonday
Yo también: ay! Que baratas las cápsulas de café <U+2615>"
"9","Yo: no voy a comprar mas bikinis
Cibermonday: bikinis bikinis bikinis 
Adivinen como termina la historia?"
"10","yo: listo no gasto más plata en ropa hasta diciembre

tmb yo: uy aver q hay por el cibermonday unas zapatillas no estaría mal eee"
"11","Yo: este mes si q me compro ropa
#Cybermonday2020 en buscalibre: pues no mi ciela!

Ahí va otro mes dónde me gasté la plata en libros y vestir como indigente <U+0001F62D>"
"12","Yo: ese cybermonday es una mierda 
Also yo: uh mira una oferta voy a comprar algo"
"13","yo: bueno voy a comprar los esmaltes de una ya fue, así ya los tengo 
- 1 dia despues-
CYBERMONDAY TODO G R A T I S"
"14","Yo: bueno no voy a ver nada del cybermonday para no gastar plata en boludeces
5 min dsp entre a marketplace y me compre el call of duty WWII y un parlante portátil
Bien."
"15","Yo: basta de gastar en skincare, tenés stock suficiente
*Cybermonday en gpsfarma*
Yo automáticamente: https://t.co/UiWEdjRFuF"
"16","Yo: “El CiberMonday es una estafa total, quien puede ser tan pajero para comprar algo sabiendo q vale lo mismo”
Yo un rato despues: https://t.co/uPj7NsbIbT"
"17","Yo: - Pa el CyberMonday es mierda, es una estafa-
Pa: - Ya sé 

Pa- (OFERTA SMART TV CYBERMONDAY) https://t.co/RZQOMm0RHb"
